TUCASEID,GEMETSTA,GTMETSTA,PEEDUCA,PEHSPNON,PTDTRACE,TEAGE,TELFS,TEMJOT,TESCHENR,TESCHLVL,TESEX,TESPEMPNOT,TRCHILDNUM,TRDPFTPT,TRERNWA,TRHOLIDAY,TRSPFTPT,TRSPPRES,TRYHHCHILD,TUDIARYDAY,TUFNWGTP,TEHRUSLT,TUYEAR,TU20FWGT,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50,embed_x,embed_y,cluster
20191210191962,-1,1,34,2,2,70,5,-1,-1,-1,1,1,0,-1,-1,0,1,1,-1,1,6827606.561648,-1,2019,6827606.561648,570,180,0,0,0,0,0,0,0,0,90,540,0,0,0,0,0,60,-1.7836447,12.206618,-1
20191210191970,-1,1,41,2,1,53,1,1,-1,-1,2,2,0,1,95000,0,-1,2,-1,4,14880264.22148,57,2019,14880264.22148,410,145,0,0,465,0,70,0,0,0,105,25,30,0,0,0,170,20,0.25125095,-2.4010656,-1
20191210192045,-1,1,39,2,1,43,5,-1,2,-1,2,1,3,-1,-1,0,3,1,6,7,4509460.526385,-1,2019,4509460.526385,620,450,125,0,0,0,0,0,0,0,90,125,0,20,0,0,10,0,-2.3644907,5.2924542,9
20191210192061,-1,1,43,2,2,31,1,2,2,-1,1,-1,0,2,33275,0,-1,3,-1,1,4952038.232527,28,2019,4952038.232527,475,0,0,0,360,0,0,0,0,0,30,230,50,0,0,5,290,0,0.76809984,-1.7554412,12
20191210192070,-1,1,36,2,1,16,5,-1,1,1,1,-1,2,-1,-1,0,-1,3,12,7,6015531.438487,-1,2019,6015531.438487,635,285,0,0,0,0,0,0,0,0,135,215,60,0,0,0,110,0,-2.6828365,9.70386,14
20191210192072,-1,1,43,2,1,37,1,2,2,-1,1,2,3,1,115384,0,-1,1,5,5,7583769.948116,45,2019,7583769.948116,495,0,80,0,580,0,0,0,0,0,60,120,0,0,0,0,105,0,-1.3418504,-2.1774755,3
20191210192073,-1,1,46,2,1,76,1,2,-1,-1,1,2,0,1,217300,0,-1,1,-1,2,18789447.169437,40,2019,18789447.169437,570,0,0,0,570,0,0,0,0,0,0,180,45,0,0,0,75,0,0.8099076,-1.7670553,12
20191210192106,-1,1,40,2,2,62,5,-1,-1,-1,1,-1,0,-1,-1,0,-1,3,-1,1,1634719.200296,-1,2019,1634719.200296,540,120,0,0,0,0,0,0,0,0,15,645,0,0,0,120,0,0,2.450773,6.9656844,10
20191210192142,-1,1,37,2,1,23,1,1,2,-1,2,-1,0,1,45000,0,-1,3,-1,2,32338844.03742,81,2019,32338844.03742,615,41,0,0,601,0,0,0,0,0,0,155,0,0,0,0,28,0,1.4434704,-4.601936,13
20191210192151,-1,1,39,2,1,21,1,2,2,-1,1,-1,2,2,45500,0,-1,3,14,5,46246777.115968,30,2019,46246777.115968,375,0,0,0,400,0,0,0,0,0,10,565,0,0,0,0,70,20,-0.76672596,-5.663257,13
20191210192167,-1,1,40,1,1,47,1,2,2,-1,1,1,1,1,70000,0,1,1,13,1,5477686.071813,35,2019,5477686.071813,650,0,0,0,630,0,0,0,0,0,70,30,0,0,0,0,60,0,1.5960542,-3.619512,13
20191210192178,-1,1,43,1,2,51,1,1,-1,-1,2,-1,0,1,65000,0,-1,3,-1,7,1781744.516775,50,2019,1781744.516775,590,130,0,0,395,0,45,0,0,0,20,220,0,0,0,0,40,0,1.3922576,-4.053355,13
20191210192180,-1,2,39,2,1,35,1,2,2,-1,1,1,1,1,153846,0,1,1,5,4,11642622.15521,60,2019,11642622.15521,480,20,0,0,760,0,0,0,0,0,20,0,0,0,0,0,160,0,0.28525314,-4.259447,13
20191210192206,-1,2,39,2,1,56,2,2,-1,-1,1,2,0,2,-1,0,-1,1,-1,3,27428544.464751,5,2019,27428544.464751,540,0,0,0,0,0,0,0,0,0,80,699,60,0,0,0,61,0,-0.85604244,13.111048,-1
20191210192232,-1,2,41,2,1,33,1,1,2,-1,1,1,4,1,-1,0,1,1,1,1,2798826.481735,70,2019,2798826.481735,580,60,60,0,60,0,60,0,0,0,80,420,0,0,0,0,120,0,0.4593091,10.093877,16
20191210192233,-1,1,40,2,1,54,1,2,-1,-1,2,1,1,1,88000,0,3,1,14,3,9054350.222193,40,2019,9054350.222193,540,92,5,0,488,0,0,0,0,0,60,180,0,0,0,0,75,0,0.35716653,-3.6710713,13
20191210192248,-1,1,43,2,4,62,1,2,-1,-1,2,2,0,1,189262,0,-1,1,-1,1,5771389.609889,84,2019,5771389.609889,1005,240,0,0,180,0,0,0,0,0,0,15,0,0,0,0,0,0,2.7773983,11.01913,21
20191210192254,-1,1,33,1,1,79,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,1,4631920.593385,-1,2019,4631920.593385,895,15,0,0,0,0,0,0,0,0,60,20,330,60,0,0,60,0,-3.952184,8.216849,14
20191210192273,-1,1,46,2,4,53,1,2,-1,-1,1,2,1,1,288461,0,-1,1,14,1,4906182.41887,40,2019,4906182.41887,520,60,140,0,0,0,240,0,0,0,150,120,120,0,0,0,90,0,-0.15456726,8.981946,15
20191210192299,-1,1,44,2,2,52,1,2,-1,-1,2,-1,0,1,259615,0,-1,3,-1,4,7351477.446624,80,2019,7351477.446624,405,85,0,0,685,0,60,0,0,0,35,0,0,0,20,30,120,0,2.5958424,-2.2021441,1
20191210192304,-1,1,43,2,4,25,5,-1,2,-1,2,1,0,-1,-1,0,1,1,-1,7,20603013.765243,-1,2019,20603013.765243,838,170,0,0,0,0,0,0,0,0,90,342,0,0,0,0,0,0,2.7782295,11.583609,22
20191210192341,-1,1,44,2,1,78,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,3,8468332.142773,-1,2019,8468332.142773,435,145,0,465,0,60,5,0,0,0,25,210,30,0,0,0,65,0,-9.569264,9.541421,4
20191210192342,-1,1,39,1,1,61,1,2,-1,-1,1,-1,0,1,115384,0,-1,3,-1,1,3071115.273646,45,2019,3071115.273646,540,655,0,0,0,0,0,0,0,0,65,180,0,0,0,0,0,0,-4.0160847,11.208756,20
20191210192352,-1,1,40,1,1,33,1,2,2,-1,2,-1,0,1,74000,0,-1,3,-1,6,17217167.698265,40,2019,17217167.698265,480,0,0,0,555,0,0,0,0,0,60,310,0,0,0,0,35,0,-0.53848743,-4.929579,13
20191210192356,-1,2,39,2,1,28,1,2,2,-1,1,-1,2,1,-1,1,-1,3,1,4,10919149.491624,40,2019,10919149.491624,852,5,2,0,0,0,0,0,0,0,10,565,0,0,0,0,6,0,2.2520814,13.288226,22
20191210192368,-1,1,40,1,1,55,1,2,-1,-1,2,1,0,1,70360,0,1,1,-1,1,3393426.877948,40,2019,3393426.877948,538,510,0,0,0,0,60,0,0,0,110,170,0,0,0,0,50,2,-3.082147,10.907378,-1
20191210192387,-1,3,39,2,1,44,1,1,2,-1,1,1,2,1,76923,0,1,1,9,2,21385633.559152,42,2019,21385633.559152,475,48,0,0,855,0,0,0,0,0,30,0,0,0,0,0,32,0,0.14804888,-3.983072,13
20191210192396,-1,1,43,1,1,69,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,4,13115927.879,-1,2019,13115927.879,660,230,0,0,0,0,0,0,0,0,90,420,40,0,0,0,0,0,-3.4998074,9.117698,14
20191210192418,-1,1,43,2,1,38,1,2,2,-1,1,1,3,1,150000,0,1,1,3,7,2774570.935486,40,2019,2774570.935486,570,0,10,5,0,0,15,0,0,0,80,325,0,90,0,0,345,0,5.374886,4.950671,11
20191210192441,-1,1,42,2,2,28,1,2,2,-1,1,-1,0,1,-1,0,-1,3,-1,4,23837887.681519,60,2019,23837887.681519,660,0,0,0,750,0,0,0,0,0,30,0,0,0,0,0,0,0,1.4956338,-4.0441303,13
20191210192449,-1,1,42,2,2,67,5,-1,-1,-1,2,-1,0,-1,-1,0,-1,3,-1,2,8563818.336992,-1,2019,8563818.336992,570,0,0,0,60,480,0,0,0,0,90,240,0,0,0,0,0,0,-11.198898,2.205655,0
20191210192452,-1,1,39,2,4,18,5,-1,1,2,2,-1,1,-1,-1,0,-1,3,15,7,15060525.649176,-1,2019,15060525.649176,640,40,0,0,0,300,0,0,0,0,115,75,0,70,130,25,45,0,-11.034081,2.15481,0
20191210192463,-1,1,40,2,1,49,1,1,2,-1,1,1,1,1,-1,0,1,1,15,1,7875289.413425,-4,2019,7875289.413425,520,20,0,0,0,0,0,0,0,0,160,645,0,60,5,0,30,0,5.6183167,4.734633,11
20191210192472,-1,1,43,2,1,38,1,2,2,-1,1,1,2,1,288461,0,1,1,8,1,3444217.664488,40,2019,3444217.664488,360,15,0,0,0,0,0,0,0,0,60,440,0,0,0,2,563,0,-0.8775379,15.223969,24
20191211190004,-1,1,43,2,2,25,1,1,2,-1,2,-1,0,1,69200,0,-1,3,-1,6,25423889.091854,50,2019,25423889.091854,855,3,0,0,537,0,0,0,0,0,0,0,0,0,0,0,45,0,2.264847,-4.011672,13
20191211190007,-1,1,39,2,1,52,1,2,-1,-1,2,1,1,2,-1,0,2,1,13,1,5109592.097496,15,2019,5109592.097496,665,200,50,0,0,0,15,0,0,0,45,175,0,75,75,70,70,0,3.3394544,6.095806,11
20191211190013,-1,1,40,2,1,71,5,-1,-1,-1,1,2,0,-1,-1,0,-1,1,-1,4,10782483.745235,-1,2019,10782483.745235,460,0,0,240,0,0,5,0,0,0,160,480,0,0,0,0,95,0,-9.174526,10.078766,4
20191211190038,-1,1,41,2,1,34,4,-1,2,-1,1,-1,0,-1,-1,0,-1,3,-1,5,15290906.348872,-1,2019,15290906.348872,530,2,0,0,0,0,0,0,0,0,7,793,0,0,0,0,0,108,0.18110847,15.532477,24
